Data,Ano,Mes,Nome_Mes,Dia,Dia_Semana,Trimestre
2023-01-15,2023,1,Janeiro,15,Domingo,1
2023-01-20,2023,1,Janeiro,20,Sexta-feira,1
2023-02-10,2023,2,Fevereiro,10,Sexta-feira,1
2023-03-05,2023,3,Março,5,Domingo,1
2023-03-12,2023,3,Março,12,Domingo,1
2023-04-22,2023,4,Abril,22,Sábado,2
2023-05-01,2023,5,Maio,1,Segunda-feira,2
2023-05-19,2023,5,Maio,19,Sexta-feira,2
2023-06-11,2023,6,Junho,11,Domingo,2
2023-07-14,2023,7,Julho,14,Sexta-feira,3
2023-08-25,2023,8,Agosto,25,Sexta-feira,3
2023-09-07,2023,9,Setembro,7,Quinta-feira,3
2023-10-30,2023,10,Outubro,30,Segunda-feira,4
2023-11-24,2023,11,Novembro,24,Sexta-feira,4
2023-12-21,2023,12,Dezembro,21,Quinta-feira,4
2024-01-18,2024,1,Janeiro,18,Quinta-feira,1
2024-01-25,2024,1,Janeiro,25,Quinta-feira,1
2024-02-14,2024,2,Fevereiro,14,Quarta-feira,1
2024-03-08,2024,3,Março,8,Sexta-feira,1
2024-03-20,2024,3,Março,20,Quarta-feira,1
