ID_Venda,Data,ID_Cliente,ID_Produto,ID_Canal,Quantidade,Preco_Unitario,Custo_Unitario
1,2023-01-15,1,101,1,1,7500.00,5000.00
2,2023-01-20,2,103,2,1,4500.00,3000.00
3,2023-02-10,3,106,3,2,150.00,80.00
4,2023-03-05,1,105,4,1,800.00,550.00
5,2023-03-12,4,102,1,1,3200.00,2200.00
6,2023-04-22,5,107,2,1,600.00,400.00
7,2023-05-01,6,109,3,1,2500.00,1800.00
8,2023-05-19,2,110,1,1,950.00,650.00
9,2023-06-11,7,104,2,1,9800.00,7200.00
10,2023-07-14,8,101,4,1,7600.00,5100.00
11,2023-08-25,9,108,1,2,350.00,200.00
12,2023-09-07,10,103,3,1,4400.00,2900.00
13,2023-10-30,4,106,2,3,140.00,80.00
14,2023-11-24,1,104,1,1,9500.00,7000.00
15,2023-12-21,5,102,4,1,3100.00,2150.00
16,2024-01-18,3,101,2,1,7800.00,5200.00
17,2024-01-25,7,105,3,1,820.00,560.00
18,2024-02-14,8,107,1,1,650.00,420.00
19,2024-03-08,6,108,4,2,360.00,210.00
20,2024-03-20,10,109,2,1,2600.00,1850.00
